INFO flwr 2023-12-19 14:28:34,239 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:34,242 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:34,242 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:34,247 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:35,676 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:35,680 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:35,680 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:35,683 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:36,091 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:36,095 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:36,095 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:36,098 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:36,184 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:36,187 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:36,188 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:36,190 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:36,347 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:36,351 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:36,351 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:36,354 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:36,536 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:36,541 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:36,541 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:36,543 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:37,015 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:37,018 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:37,018 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:37,021 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:37,209 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:37,213 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:37,213 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:37,216 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:37,757 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:37,761 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:37,761 | connection.py:39 | ChannelConnectivity.CONNECTING
